"","indicator_1","indicator_1a","indicator_1b","indicator_2","indicator_3","indicator_4","indicator_5","indicator_6","indicator_7d","indicator_8","indicator_9","indicator_11c","indicator_13","indicator_15","indicator_16","indicator_21","practice_id"
"55",0.909090909090909,0.875,0.916666666666667,0.01573564122738,0.625,0.488372093023256,NA,0.0434782608695652,0.333333333333333,0.594202898550725,0.0134228187919463,0.0434782608695652,0.5,0.739130434782609,0.130434782608696,0.333333333333333,"Practice 57"
"56",0.722222222222222,0.680851063829787,0.928571428571429,0.0586552217453505,0.7,0.6,0.25,0.111111111111111,0.285714285714286,0.611111111111111,0.303921568627451,0.0833333333333333,0.75,0.916666666666667,0.222222222222222,0.166666666666667,"Practice 58"
"57",0.777777777777778,0.697674418604651,1,0.0227758007117438,0.392857142857143,0.566666666666667,0.444444444444444,0.11,0.666666666666667,0.25,0.027972027972028,0.03,0.444444444444444,0.56,NA,0.176470588235294,"Practice 59"
"58",0.444444444444444,0.285714285714286,1,NA,0.4,0.125,NA,NA,NA,0.333333333333333,0.0454545454545455,NA,1,0.583333333333333,NA,0.5,"Practice 60"
"59",0.348837209302326,0.111111111111111,0.642857142857143,0.00245098039215686,0.0588235294117647,0.0333333333333333,NA,NA,NA,0.384615384615385,0.078125,NA,0.6,0.942307692307692,0.0714285714285714,0.352941176470588,"Practice 61"
"60",0.0909090909090909,0.0909090909090909,NA,0.00968992248062015,1,0.2,0.333333333333333,0.25,NA,0.5,NA,NA,1,0.75,NA,0.5,"Practice 62"
"61",0.411764705882353,0.384615384615385,0.857142857142857,0.0127659574468085,0.285714285714286,0.9,0.5,0.0555555555555556,1,0.666666666666667,0.193548387096774,NA,NA,0.888888888888889,NA,0.5,"Practice 63"
"62",0.5,0.666666666666667,1,NA,NA,NA,0.5,0.125,NA,0.125,0.1875,NA,1,0.625,NA,NA,"Practice 64"
"63",0.545454545454545,0.428571428571429,0.4,0.00404040404040404,0.833333333333333,0.428571428571429,NA,NA,NA,0.125,NA,0.0625,NA,0.5,NA,1,"Practice 65"
"64",0.215686274509804,0.173333333333333,0.457142857142857,0.026677445432498,0.708333333333333,0.566666666666667,0.25,0.0634920634920635,1,0.507936507936508,0.0256410256410256,0.126984126984127,0.6,0.714285714285714,0.176470588235294,0.333333333333333,"Practice 66"
"65",0.596153846153846,0.534883720930233,0.842105263157895,0.0484460694698355,0.393939393939394,0.45,0.25,0.185714285714286,0.2,0.471428571428571,0.0117647058823529,0.157142857142857,1,0.771428571428571,0.0909090909090909,0.272727272727273,"Practice 67"
"66",0.833333333333333,0.75,1,0.00881612090680101,0.4,0.6,0.25,NA,0.5,0.242424242424242,0.0185185185185185,0.0606060606060606,0.375,0.727272727272727,NA,0.25,"Practice 68"
"67",NA,NA,NA,0.00508905852417303,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333333333,NA,NA,"Practice 69"
"68",0.382352941176471,0.269230769230769,0.6,0.00819672131147541,0.272727272727273,0.266666666666667,NA,NA,0.333333333333333,0.260869565217391,NA,NA,0.333333333333333,0.782608695652174,NA,0.666666666666667,"Practice 70"
"69",0.428571428571429,0.2,1,0.00273972602739726,0.444444444444444,0.625,1,NA,1,0.352941176470588,0.136363636363636,0.0588235294117647,0.5,0.823529411764706,NA,NA,"Practice 71"
"70",0.705128205128205,0.641509433962264,0.869565217391304,0.0351758793969849,0.6,0.522388059701493,0.461538461538462,0.0457516339869281,0.5,0.450980392156863,0.0506912442396313,0.0522875816993464,0.6,0.69281045751634,0.162162162162162,0.272727272727273,"Practice 72"
"71",0.776315789473684,0.711864406779661,1,0.0566757493188011,0.429906542056075,0.322222222222222,0.15,0.0571428571428571,0.133333333333333,0.468571428571429,0.0571428571428571,0.0628571428571429,0.777777777777778,0.708571428571429,0.0158730158730159,0.578947368421053,"Practice 73"
"72",0.444444444444444,0.384615384615385,0.818181818181818,0.0211970074812968,0.5,0.384615384615385,0.5,0.0285714285714286,1,0.314285714285714,NA,0.0571428571428571,1,0.542857142857143,0.111111111111111,0.2,"Practice 74"
"73",0.32,0.213114754098361,0.730769230769231,0.0216981132075472,0.545454545454545,0.517241379310345,0.416666666666667,0.0192307692307692,NA,0.423076923076923,0.0588235294117647,0.25,0.666666666666667,0.865384615384615,0.25,0.181818181818182,"Practice 75"
"74",0.5,0.333333333333333,1,0.00359712230215827,0.666666666666667,0.444444444444444,0.5,NA,NA,0.375,NA,0.0625,NA,0.625,NA,0.5,"Practice 77"
"75",0.197916666666667,0.151898734177215,0.296296296296296,0.027006751687922,0.583333333333333,0.44,0.5,0.0784313725490196,NA,0.254901960784314,0.0869565217391304,NA,0.727272727272727,0.901960784313725,NA,0.25,"Practice 78"
"76",0.32258064516129,0.269230769230769,0.5625,0.0352536543422184,0.380952380952381,0.541666666666667,0.272727272727273,0.0975609756097561,0.333333333333333,0.439024390243902,0.0925925925925926,0.0975609756097561,0.833333333333333,0.804878048780488,NA,0.4,"Practice 79"
"77",0.166666666666667,NA,0.333333333333333,0.00434782608695652,1,NA,NA,NA,NA,0.5,NA,NA,NA,0.5,NA,NA,"Practice 80"
"78",0.57843137254902,0.51219512195122,0.869565217391304,0.0532250789354984,0.348837209302326,0.454545454545455,0.136363636363636,0.146067415730337,0.25,0.404494382022472,0.131944444444444,0.0337078651685393,0.8,0.786516853932584,0.09375,0.578947368421053,"Practice 81"
"79",0.628571428571429,0.517241379310345,0.866666666666667,0.0992448759439051,0.584905660377359,0.486486486486487,0.25,0.189189189189189,0.4,0.540540540540541,0.032258064516129,0.0135135135135135,0.714285714285714,0.851351351351351,0.0689655172413793,0.583333333333333,"Practice 82"
"80",0.5,0.5,1,0.00377358490566038,0.333333333333333,0.2,NA,NA,NA,0.166666666666667,0.0384615384615385,0.0833333333333333,NA,0.833333333333333,NA,NA,"Practice 83"
"81",0.5,0.423076923076923,0.666666666666667,0.0102040816326531,0.588235294117647,0.1,NA,NA,1,NA,0.0526315789473684,0.133333333333333,NA,0.866666666666667,NA,NA,"Practice 84"
"82",0.666666666666667,0.5,1,0.00613496932515337,NA,0.5,NA,NA,NA,NA,NA,NA,NA,1,NA,1,"Practice 85"
"83",0.96969696969697,0.956521739130435,0.928571428571429,0.0395604395604396,0.463414634146342,0.414634146341463,NA,0.0350877192982456,0.0769230769230769,0.324561403508772,0.0263157894736842,0.552631578947369,0.555555555555556,0.833333333333333,0.125,0.25,"Practice 86"
"84",0.5,0.375,0.884615384615385,0.0381315538608198,0.586956521739131,0.423076923076923,0.285714285714286,0.0740740740740741,0.666666666666667,0.604938271604938,0.103448275862069,NA,0.888888888888889,0.987654320987654,0.0357142857142857,0.307692307692308,"Practice 87"
"85",0.368421052631579,0.214285714285714,0.727272727272727,0.0132075471698113,0.666666666666667,0.578947368421053,0.5,0.0285714285714286,1,0.371428571428571,0.0188679245283019,0.0285714285714286,0.5,0.857142857142857,NA,0.166666666666667,"Practice 88"
"86",0.642857142857143,0.529411764705882,0.714285714285714,0.031496062992126,0.6,0.576923076923077,0.666666666666667,NA,0.6,0.442622950819672,0.0909090909090909,0.0327868852459016,0.75,0.819672131147541,0.0555555555555556,0.25,"Practice 89"
"87",0.142857142857143,0.0833333333333333,NA,0.0277777777777778,0.8,0.333333333333333,NA,NA,NA,0.5,0.166666666666667,NA,NA,1,NA,NA,"Practice 90"
"88",0.333333333333333,NA,1,0.0166468489892985,0.428571428571429,NA,0.333333333333333,0.037037037037037,1,0.111111111111111,0.0588235294117647,0.111111111111111,NA,0.481481481481482,NA,NA,"Practice 91"
"89",0.625,0.571428571428571,1,0.00946372239747634,0.666666666666667,0.5,NA,NA,1,0.307692307692308,NA,0.0769230769230769,1,0.846153846153846,NA,NA,"Practice 92"
"90",0.413793103448276,0.294117647058824,0.583333333333333,0.02,0.5,0.210526315789474,0.333333333333333,0.1,0.625,0.233333333333333,0.024390243902439,0.0333333333333333,0.285714285714286,0.766666666666667,0.0909090909090909,0.571428571428571,"Practice 93"
"91",0.866666666666667,0.837837837837838,1,0.0660822656776804,0.46875,0.411764705882353,0.0909090909090909,0.148514851485149,0.4,0.415841584158416,0.0211267605633803,0.0495049504950495,0.730769230769231,0.782178217821782,0.0967741935483871,0.454545454545455,"Practice 94"
"92",0.481481481481482,0.409090909090909,0.888888888888889,0.0233100233100233,0.5,0.478260869565217,0.333333333333333,0.0178571428571429,0.6,0.482142857142857,0.0681818181818182,0.339285714285714,0.666666666666667,0.678571428571429,0.125,0.166666666666667,"Practice 95"
"93",0.571428571428571,0.6,1,0.0143540669856459,1,NA,0.5,NA,NA,0.375,0.1,NA,0.5,0.75,NA,NA,"Practice 96"
"94",0.547169811320755,0.314285714285714,0.789473684210526,0.0320366132723112,0.2,0.45945945945946,0.428571428571429,0.0392156862745098,0.5,0.450980392156863,0.117647058823529,0.0980392156862745,0.5,0.784313725490196,0.0714285714285714,0.2,"Practice 97"
"95",0.294117647058824,0.166666666666667,0.5,0.00784313725490196,NA,0.8,NA,0.222222222222222,NA,0.333333333333333,0.222222222222222,0.111111111111111,1,0.888888888888889,NA,NA,"Practice 98"
"96",0.4,0.136363636363636,0.777777777777778,0.0125,0.636363636363636,0.294117647058824,0.25,0.0285714285714286,NA,0.371428571428571,0.126984126984127,0.342857142857143,NA,0.714285714285714,NA,NA,"Practice 99"
"97",0.333333333333333,0.333333333333333,NA,0.0253807106598985,1,1,NA,NA,NA,1,NA,0.333333333333333,NA,0.333333333333333,NA,NA,"Practice 100"
"98",0.314285714285714,0.192307692307692,0.6,0.0407766990291262,0.666666666666667,0.727272727272727,0.5,0.230769230769231,0.333333333333333,0.538461538461538,0.0645161290322581,NA,0.8,0.769230769230769,0.333333333333333,NA,"Practice 101"
"99",0.333333333333333,0.0833333333333333,1,0.0301837270341207,0.3,0.5,0.5,0.115384615384615,NA,0.269230769230769,0.0303030303030303,NA,0.4,0.692307692307692,NA,0.25,"Practice 102"
"100",0.947368421052632,0.931034482758621,1,0.0594294770206022,0.442622950819672,0.509803921568627,0.0909090909090909,0.159090909090909,0.25,0.375,0.015625,0.102272727272727,0.740740740740741,0.772727272727273,0.0714285714285714,0.181818181818182,"Practice 103"
"101",0.319148936170213,0.194444444444444,0.777777777777778,0.046039268788084,0.5,0.5,0.333333333333333,0.166666666666667,0.0588235294117647,0.533333333333333,0.046875,NA,0.6,0.833333333333333,0.25,NA,"Practice 105"
"102",0.333333333333333,0.5,NA,0.0104166666666667,0.4,NA,NA,0.142857142857143,NA,0.142857142857143,0.125,NA,1,0.714285714285714,NA,NA,"Practice 106"
"103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Practice 107"
"104",0.333333333333333,0.142857142857143,0.5,0.0242424242424242,0.666666666666667,0.333333333333333,1,NA,NA,NA,NA,NA,NA,1,NA,NA,"Practice 108"
"105",0.857142857142857,0.821428571428571,0.909090909090909,0.0258684405025868,0.431818181818182,0.282051282051282,0.0769230769230769,0.1,0.6,0.3125,0.0625,0.175,0.692307692307692,0.8,0.0526315789473684,0.3,"Practice 109"
"106",0.181818181818182,0.111111111111111,0.333333333333333,0.0170380078636959,0.5,0.428571428571429,NA,0.08,1,0.36,0.138888888888889,0.16,0.5,0.52,0.142857142857143,0.333333333333333,"Practice 110"
"107",0.928571428571429,0.888888888888889,1,0.034956304619226,0.5,0.428571428571429,NA,0.0793650793650794,NA,0.365079365079365,0.0352941176470588,0.0634920634920635,0.7,0.825396825396825,0.0909090909090909,0.333333333333333,"Practice 111"
"108",0.444444444444444,0.333333333333333,0.625,0.0353430353430353,0.5,0.555555555555556,0.5,0.0833333333333333,0.666666666666667,0.458333333333333,0.114285714285714,NA,1,0.75,0.125,0.833333333333333,"Practice 112"
"109",0.615384615384615,0.583333333333333,0.8,0.056633048875097,0.5,0.423076923076923,NA,0.0655737704918033,NA,0.245901639344262,0.0266666666666667,0.229508196721311,0.6875,0.688524590163934,0.0769230769230769,0.333333333333333,"Practice 113"
"110",0.46360153256705,0.381818181818182,0.795180722891566,0.0364470842332613,0.590243902439024,0.521739130434783,0.315789473684211,NA,0.634146341463415,0.459074733096086,0.164345403899721,0.790035587188612,0.88,0.939501779359431,0.116883116883117,0.283018867924528,"Practice 114"
"111",0.424242424242424,0.321428571428571,0.9,0.0224719101123596,NA,0.333333333333333,1,0.25,0.7,0.5,0.393939393939394,NA,NA,0.5,NA,0.333333333333333,"Practice 115"
